Date,NAV
2014-07-10,10.00790
2014-07-11,9.99410
2014-07-14,10.00220
2014-07-15,10.00370
2014-07-16,10.00990
2014-07-17,10.01130
2014-07-18,10.01360
2014-07-21,10.02010
2014-07-22,10.02410
2014-07-23,10.02660
2014-07-24,10.02650
2014-07-25,10.02980
2014-07-28,10.03750
2014-07-30,10.04170
2014-07-31,10.04270
2014-08-01,10.04270
2014-08-04,10.05070
2014-08-05,10.05380
2014-08-06,10.05460
2014-08-07,10.05610
2014-08-08,10.05830
2014-08-11,10.06430
2014-08-12,10.06670
2014-08-13,10.06890
2014-08-14,10.07060
2014-08-19,10.08360
2014-08-20,10.08560
2014-08-21,10.08890
2014-08-22,10.09200
2014-08-25,10.09920
2014-08-26,10.10180
2014-08-27,10.10290
2014-08-28,10.10530
2014-09-01,10.11510
2014-09-02,10.11740
2014-09-03,10.12050
2014-09-04,10.12270
2014-09-05,10.12530
2014-09-08,10.13250
2014-09-09,10.13470
2014-09-10,10.13690
2014-09-11,10.13970
2014-09-12,10.14190
2014-09-15,10.14910
2014-09-16,10.15150
2014-09-17,10.15460
2014-09-18,10.15790
2014-09-19,10.16150
2014-09-22,10.16910
2014-09-23,10.17090
2014-09-24,10.17330
2014-09-25,10.17620
2014-09-26,10.17890
2014-09-29,10.18630
2014-09-30,10.18950
2014-10-01,10.19330
2014-10-07,10.20950
2014-10-08,10.21290
2014-10-09,10.21510
2014-10-10,10.21750
2014-10-13,10.22590
2014-10-14,10.22930
2014-10-16,10.23520
2014-10-17,10.23810
2014-10-20,10.24790
2014-10-21,10.25360
2014-10-22,10.25650
2014-10-27,10.26860
2014-10-28,10.27100
2014-10-29,10.27570
2014-10-30,10.27890
2014-10-31,10.28290
2014-11-03,10.29280
2014-11-05,10.30050
2014-11-07,10.30560
2014-11-10,10.31370
2014-11-11,10.31710
2014-11-12,10.31930
2014-11-13,10.32140
2014-11-14,10.32530
2014-11-17,10.33230
2014-11-18,10.33530
2014-11-19,10.33760
2014-11-20,10.34050
2014-11-21,10.34300
2014-11-24,10.34950
2014-11-25,10.35210
2014-11-26,10.35460
2014-11-27,10.35660
2014-11-28,10.35900
2014-12-01,10.36660
2014-12-02,10.36930
2014-12-03,10.37200
2014-12-04,10.37460
2014-12-05,10.37710
2014-12-08,10.38470
2014-12-09,10.38740
2014-12-10,10.39000
2014-12-11,10.39240
2014-12-12,10.39410
2014-12-15,10.40160
2014-12-16,10.40200
2014-12-17,10.40400
2014-12-18,10.40630
2014-12-19,10.40870
2014-12-22,10.41470
2014-12-23,10.41630
2014-12-24,10.41880
2014-12-26,10.42330
2014-12-29,10.43050
2014-12-30,10.43340
2014-12-31,10.43680
2015-01-01,10.44050
2015-01-02,10.44330
2015-01-05,10.45010
2015-01-06,10.45230
2015-01-07,10.45480
2015-01-08,10.45730
2015-01-09,10.45940
2015-01-12,10.46670
2015-01-13,10.46910
2015-01-14,10.47120
2015-01-15,10.47780
2015-01-16,10.47980
2015-01-19,10.48600
2015-01-20,10.48780
2015-01-21,10.48890
2015-01-22,10.49100
2015-01-23,10.49350
2015-01-27,10.50300
2015-01-28,10.50530
2015-01-29,10.50700
2015-01-30,10.50920
2015-02-02,10.51630
2015-02-03,10.51810
2015-02-04,10.52060
2015-02-05,10.52250
2015-02-06,10.52250
2015-02-09,10.52710
2015-02-10,10.52880
2015-02-11,10.52830
2015-02-12,10.52680
2015-02-13,10.52970
2015-02-16,10.53680
2015-02-18,10.54170
2015-02-20,10.54760
2015-02-23,10.55810
2015-02-24,10.56120
2015-02-25,10.56520
2015-02-26,10.56730
2015-02-27,10.56960
2015-03-02,10.57690
2015-03-03,10.57950
2015-03-04,10.58880
2015-03-05,10.59170
2015-03-09,10.60110
2015-03-10,10.60230
2015-03-11,10.60470
2015-03-12,10.60730
2015-03-13,10.60980
2015-03-16,10.61770
2015-03-17,10.62020
2015-03-18,10.62190
2015-03-19,10.62460
2015-03-20,10.62680
2015-03-23,10.63340
2015-03-24,10.63510
2015-03-25,10.63790
2015-03-26,10.64100
2015-03-27,10.64340
2015-03-30,10.65130
2015-03-31,10.66570
2015-04-06,10.68330
2015-04-07,10.68530
2015-04-08,10.68790
2015-04-09,10.69050
2015-04-10,10.69240
2015-04-13,10.69920
2015-04-15,10.70370
2015-04-16,10.70580
2015-04-17,10.70810
2015-04-20,10.71520
2015-04-21,10.71750
2015-04-22,10.71970
2015-04-23,10.72240
2015-04-24,10.72460
2015-04-27,10.73140
2015-04-28,10.73320
2015-04-29,10.73560
2015-04-30,10.73760
2015-05-05,10.74890
2015-05-06,10.75110
2015-05-07,10.75300
2015-05-08,10.75540
2015-05-11,10.76280
2015-05-12,10.76530
2015-05-13,10.76770
2015-05-14,10.77020
2015-05-15,10.77270
2015-05-18,10.78000
2015-05-19,10.78250
2015-05-20,10.78500
2015-05-21,10.78740
2015-05-22,10.78990
2015-05-25,10.79730
2015-05-26,10.79970
2015-05-27,10.80220
2015-05-28,10.80470
2015-05-29,10.80710
2015-06-01,10.81450
2015-06-02,10.81700
2015-06-03,10.81940
2015-06-04,10.82190
2015-06-05,10.82440
2015-06-08,10.83180
2015-06-09,10.83420
2015-06-10,10.83670
2015-06-11,10.83910
2015-06-12,10.84160
2015-06-15,10.84900
2015-06-16,10.85140
2015-06-17,10.85390
2015-06-18,10.85640
2015-06-19,10.85880
2015-06-22,10.86620
2015-06-23,10.86870
2015-06-24,10.87110
2015-06-25,10.87360
2015-06-26,10.87610
2015-06-29,10.88340
2015-06-30,10.88580
2015-07-01,10.88830
2015-07-02,10.89090
2015-07-03,10.89340
2015-07-06,10.90060
2015-07-07,10.90300
2015-07-08,10.90460
2015-07-09,10.90680
2015-07-10,10.90920
2015-07-13,10.91620
2015-07-14,10.91860
2015-07-15,10.92110
2015-07-16,10.92240
2015-07-17,10.92520
2015-07-20,10.93120
2015-07-21,10.93370
2015-07-22,10.93720
2015-07-23,10.93950
2015-07-24,10.94280
2015-07-27,10.95030
2015-07-28,10.95370
2015-07-29,10.95810
2015-07-30,10.96050
2015-07-31,10.96510
2015-08-03,10.97290
