SchemeCode,Date,NAV
100027,2006-04-03,10.07740
100027,2006-04-04,10.07960
100027,2006-04-05,10.08360
100027,2006-04-07,10.08560
100027,2006-04-10,10.09060
100027,2006-04-12,10.09240
100027,2006-04-13,10.09410
100027,2006-04-17,10.09710
100027,2006-04-18,10.09900
100027,2006-04-19,10.10060
100027,2006-04-20,10.10610
100027,2006-04-21,10.10720
100027,2006-04-24,10.11020
100027,2006-04-25,10.11120
100027,2006-04-26,10.11240
100027,2006-04-27,10.11360
100027,2006-04-28,10.11470
100027,2006-05-02,10.11940
100027,2006-05-03,10.12060
100027,2006-05-04,10.11670
100027,2006-05-05,10.12020
100027,2006-05-08,10.12360
100027,2006-05-09,10.12710
100027,2006-05-10,10.12790
100027,2006-05-11,10.12620
100027,2006-05-12,10.12740
100027,2006-05-15,10.13090
100027,2006-05-16,10.13210
100027,2006-05-17,10.13040
100027,2006-05-18,10.12580
100027,2006-05-19,10.12880
100027,2006-05-22,10.13240
100027,2006-05-23,10.13360
100027,2006-05-24,10.13480
100027,2006-05-25,10.13590
100027,2006-05-26,10.13710
100027,2006-05-29,10.14050
100027,2006-05-30,10.14160
100027,2006-05-31,10.14310
100027,2006-06-01,10.14380
100027,2006-06-02,10.14490
100027,2006-06-05,10.13650
100027,2006-06-06,10.14530
100027,2006-06-07,10.14640
100027,2006-06-08,10.14750
100027,2006-06-09,10.14560
100027,2006-06-12,10.15000
100027,2006-06-13,10.15140
100027,2006-06-14,10.15270
100027,2006-06-15,10.15410
100027,2006-06-16,10.15550
100027,2006-06-19,10.15400
100027,2006-06-20,10.15530
100027,2006-06-21,10.15660
100027,2006-06-22,10.15790
100027,2006-06-23,10.14880
100027,2006-06-26,10.15270
100027,2006-06-27,10.15390
100027,2006-06-28,10.15520
100027,2006-06-29,10.15650
100027,2006-06-30,10.15790
100027,2006-07-03,10.16210
100027,2006-07-04,10.16350
100027,2006-07-05,10.16500
100027,2006-07-06,10.16650
100027,2006-07-07,10.16800
100027,2006-07-10,10.17240
100027,2006-07-11,10.17370
100027,2006-07-12,10.17520
100027,2006-07-13,10.17660
100027,2006-07-14,10.17810
100027,2006-07-17,10.18250
100027,2006-07-18,10.18400
100027,2006-07-19,10.18540
100027,2006-07-20,10.18690
100027,2006-07-21,10.19290
100027,2006-07-24,10.20100
100027,2006-07-25,10.20250
100027,2006-07-26,10.19960
100027,2006-07-27,10.20460
100027,2006-07-28,10.20050
100027,2006-07-31,10.20830
100027,2006-08-01,10.20220
100027,2006-08-02,10.20890
100027,2006-08-03,10.20940
100027,2006-08-04,10.21250
100027,2006-08-07,10.22270
100027,2006-08-08,10.23270
100027,2006-08-09,10.25380
100027,2006-08-10,10.25790
100027,2006-08-11,10.25600
100027,2006-08-14,10.26080
100027,2006-08-16,10.26820
100027,2006-08-17,10.27440
100027,2006-08-18,10.27600
100027,2006-08-21,10.28060
100027,2006-08-22,10.28170
100027,2006-08-23,10.28330
100027,2006-08-24,10.28480
100027,2006-08-25,10.28350
100027,2006-08-28,10.28910
100027,2006-08-29,10.28900
100027,2006-08-30,10.29170
100027,2006-08-31,10.29330
100027,2006-09-01,10.29710
100027,2006-09-04,10.32970
100027,2006-09-05,10.32670
100027,2006-09-06,10.32550
100027,2006-09-07,10.32730
100027,2006-09-08,10.33770
100027,2006-09-11,10.33830
100027,2006-09-12,10.33080
100027,2006-09-13,10.33590
100027,2006-09-14,10.32810
100027,2006-09-15,10.32530
100027,2006-09-18,10.33830
100027,2006-09-19,10.34560
100027,2006-09-20,10.35700
100027,2006-09-21,10.35620
100027,2006-09-22,10.35500
100027,2006-09-25,10.36040
100027,2006-09-26,10.37180
100027,2006-09-27,10.37200
100027,2006-09-28,10.36750
100027,2006-09-29,10.16610
100027,2006-10-03,10.16810
100027,2006-10-04,10.17290
100027,2006-10-05,10.17680
100027,2006-10-06,10.17800
100027,2006-10-09,10.17890
100027,2006-10-10,10.18550
100027,2006-10-11,10.18460
100027,2006-10-12,10.18200
100027,2006-10-13,10.18940
100027,2006-10-16,10.19430
100027,2006-10-17,10.19570
100027,2006-10-18,10.19700
100027,2006-10-19,10.19860
100027,2006-10-20,10.20030
100027,2006-10-23,10.20510
100027,2006-10-26,10.21000
100027,2006-10-27,10.21320
100027,2006-10-30,10.21740
100027,2006-10-31,10.21640
100027,2006-11-01,10.22210
100027,2006-11-02,10.22650
100027,2006-11-03,10.22060
100027,2006-11-06,10.22590
100027,2006-11-07,10.23300
100027,2006-11-08,10.24800
100027,2006-11-09,10.25370
100027,2006-11-10,10.25560
100027,2006-11-13,10.26550
100027,2006-11-14,10.27200
100027,2006-11-15,10.27200
100027,2006-11-16,10.26930
100027,2006-11-17,10.28030
100027,2006-11-20,10.29580
