SchemeCode,AMC,SchemeName,ISIN,NAV,NAVDate,SchemeType,CategoryRaw,Category,SubCategory
119551,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,INF209KA13Z9,110.1078,27-Jan-2026,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Debt,Banking and PSU Fund
119552,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,-,116.9158,27-Jan-2026,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Debt,Banking and PSU Fund
119553,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,-,104.1951,27-Jan-2026,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Debt,Banking and PSU Fund
108272,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,INF209KA11Z3,154.3618,27-Jan-2026,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Debt,Banking and PSU Fund
110282,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,-,112.4533,27-Jan-2026,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Debt,Banking and PSU Fund
108274,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,-,101.9586,27-Jan-2026,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Debt,Banking and PSU Fund
110490,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,-,113.3697,27-Jan-2026,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Debt,Banking and PSU Fund
106157,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,-,103.1184,27-Jan-2026,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Debt,Banking and PSU Fund
108273,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,-,375.8204,27-Jan-2026,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Debt,Banking and PSU Fund
103176,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,-,564.1575,27-Jan-2026,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Debt,Banking and PSU Fund
