Date,NAV
2025-10-17,10.01000
2025-10-20,10.02000
2025-10-23,10.02000
2025-10-24,10.02000
2025-10-27,10.02000
2025-10-28,10.02000
2025-10-29,10.02000
2025-10-30,10.03000
2025-10-31,10.03000
2025-11-03,10.03000
2025-11-04,10.04000
2025-11-06,10.04000
2025-11-07,10.04000
2025-11-10,10.04000
2025-11-11,10.04000
2025-11-12,10.04000
2025-11-13,10.05000
2025-11-14,10.05000
2025-11-17,10.06000
2025-11-18,10.06000
2025-11-19,10.07000
2025-11-20,10.07000
2025-11-21,10.07000
2025-11-24,10.07000
2025-11-25,10.08000
2025-11-26,10.07000
2025-11-27,10.07000
2025-11-28,10.08000
2025-12-01,10.08000
2025-12-02,10.08000
2025-12-03,10.08610
2025-12-04,10.08610
2025-12-05,10.08850
2025-12-08,10.09920
2025-12-09,10.09310
2025-12-10,10.10280
2025-12-11,10.09640
2025-12-12,10.09900
2025-12-15,10.10350
2025-12-16,10.10800
2025-12-17,10.11080
2025-12-18,10.11300
2025-12-19,10.11280
2025-12-22,10.11950
2025-12-23,10.12190
2025-12-24,10.12600
2025-12-26,10.12600
2025-12-29,10.13340
2025-12-30,10.13130
2025-12-31,10.13760
2026-01-01,10.13690
2026-01-02,10.14100
2026-01-05,10.14730
2026-01-06,10.14950
2026-01-07,10.15280
2026-01-08,10.15720
2026-01-09,10.15940
2026-01-12,10.15570
2026-01-13,10.16720
2026-01-14,10.16410
2026-01-16,10.16950
2026-01-19,10.17570
2026-01-20,10.17920
2026-01-21,10.17850
2026-01-22,10.17740
2026-01-23,10.18530
2026-01-27,10.17840
