SchemeCode,AMC,SchemeType,CategoryRaw,Category,SubCategory
100033,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,Equity,Large & Mid Cap Fund
100034,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,Equity,Large & Mid Cap Fund
100037,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,Debt,Medium to Long Duration Fund
100038,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,Debt,Medium to Long Duration Fund
100041,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,Debt,Liquid Fund
100042,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,Debt,Liquid Fund
100043,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,Debt,Liquid Fund
100044,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,Debt,Liquid Fund
100046,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,Debt,Liquid Fund
100047,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,Debt,Liquid Fund
100048,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,Debt,Liquid Fund
100051,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,Debt,Liquid Fund
100057,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,Debt,Gilt Fund
100058,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,Debt,Gilt Fund
100063,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
100064,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
100077,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,Debt,Medium Duration Fund
100078,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,Debt,Medium Duration Fund
100079,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,Debt,Medium Duration Fund
100080,DSP Mutual Fund,Open Ended Schemes,Equity Scheme - Flexi Cap Fund,Equity,Flexi Cap Fund
100081,DSP Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,Hybrid,Aggressive Hybrid Fund
100082,DSP Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,Hybrid,Aggressive Hybrid Fund
100084,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,Debt,Gilt Fund
100085,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,Debt,Gilt Fund
100086,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,Debt,Gilt Fund
100087,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,Debt,Money Market Fund
100088,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,Debt,Money Market Fund
100089,DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,Debt,Money Market Fund
100119,HDFC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,Hybrid,Dynamic Asset Allocation or Balanced Advantage
100120,HDFC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,Hybrid,Dynamic Asset Allocation or Balanced Advantage
100123,HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,Debt,Medium to Long Duration Fund
100124,HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,Debt,Medium to Long Duration Fund
100174,quant Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,Equity,ELSS
100175,quant Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,Equity,ELSS
100176,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,Equity,Small Cap Fund
100177,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,Equity,Small Cap Fund
100218,JM Financial Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,Equity,Large Cap Fund
100219,JM Financial Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,Equity,Large Cap Fund
100220,JM Financial Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,Hybrid,Aggressive Hybrid Fund
100221,JM Financial Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,Hybrid,Aggressive Hybrid Fund
100222,JM Financial Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,Debt,Medium to Long Duration Fund
100223,JM Financial Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,Debt,Medium to Long Duration Fund
100233,JM Financial Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,Debt,Liquid Fund
100234,JM Financial Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,Debt,Liquid Fund
100244,JM Financial Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,Debt,Liquid Fund
100247,JM Financial Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,Debt,Liquid Fund
100254,JM Financial Mutual Fund,Open Ended Schemes,Equity Scheme - Value Fund,Equity,Value Fund
100264,Kotak Mahindra Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,Debt,Gilt Fund
100265,Kotak Mahindra Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,Debt,Gilt Fund
100280,Kotak Mahindra Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,Debt,Gilt Fund
