SchemeCode,AMC,SchemeName,ISIN,NAV,Date
100033,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,INF209K01165,899.62,29-Jan-2026
100034,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Large & Mid Cap Fund -Regular - IDCW,INF209K01157,131.02,29-Jan-2026
100037,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW,INF209K01587,13.0637,29-Jan-2026
100038,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Income Fund - Growth - Regular Plan,INF209K01579,126.4729,29-Jan-2026
100041,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,-,108.023,29-Jan-2026
100042,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund-Retail (Growth),INF209K01ME4,705.6137,29-Jan-2026
100043,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),INF209K01RT1,724.1057,29-Jan-2026
100044,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund -Retail - IDCW,-,163.694,29-Jan-2026
100046,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund -Daily IDCW,INF209K01KQ2,100.195,29-Jan-2026
100047,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund - Growth,INF209K01RU9,434.8145,29-Jan-2026
100048,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,INF209KA1LK7,108.2823,29-Jan-2026
100051,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund -weekly IDCW,INF209K01KU4,100.3229,29-Jan-2026
100057,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Govenment Securities Fund -Regular - Quarterly IDCW,INF209K01AF6,10.8793,29-Jan-2026
100058,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan,INF209K01AC3,80.3581,29-Jan-2026
100063,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life MNC Fund - Regular - IDCW,INF209K01314,218.02,29-Jan-2026
100064,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life MNC Fund - Growth - Regular Plan,INF209K01322,1262.34,29-Jan-2026
100077,DSP Mutual Fund,DSP Bond Fund - IDCW,INF740K01565,11.8515,29-Jan-2026
100078,DSP Mutual Fund,DSP Bond Fund - Growth,INF740K01557,83.6855,29-Jan-2026
100079,DSP Mutual Fund,DSP Bond Fund - IDCW - Monthly,INF740K01573,11.126,29-Jan-2026
100080,DSP Mutual Fund,DSP Flexi Cap Fund - Regular Plan - IDCW,INF740K01011,63.041,29-Jan-2026
100081,DSP Mutual Fund,DSP Aggressive Hybrid Fund- Regular Plan - Growth,INF740K01318,354.62,29-Jan-2026
100082,DSP Mutual Fund,DSP Aggressive Hybrid Fund- Regular Plan - IDCW,INF740K01326,28.353,29-Jan-2026
100084,DSP Mutual Fund,DSP Gilt Fund - Regular Plan - Growth,INF740K01615,96.1426,29-Jan-2026
100085,DSP Mutual Fund,DSP Gilt Fund - Regular Plan - IDCW,INF740K01607,12.4722,29-Jan-2026
100086,DSP Mutual Fund,DSP Gilt Fund - Regular Plan - IDCW - Monthly,INF740K01623,10.6548,29-Jan-2026
100087,DSP Mutual Fund,DSP Savings Fund - Regular Plan - Growth,INF740K01714,54.4023,29-Jan-2026
100088,DSP Mutual Fund,DSP Savings Fund - Regular Plan - IDCW,INF740K01706,12.4229,29-Jan-2026
100089,DSP Mutual Fund,DSP Savings Fund - Regular Plan - IDCW - Monthly,INF740K01722,10.9716,29-Jan-2026
100119,HDFC Mutual Fund,HDFC Balanced Advantage Fund - Growth Plan,INF179K01830,526.57,29-Jan-2026
100120,HDFC Mutual Fund,HDFC Balanced Advantage Fund - IDCW Plan,INF179K01814,38.048,29-Jan-2026
100123,HDFC Mutual Fund,HDFC Income Fund - Quarterly IDCW Option,INF179K01947,11.3664,29-Jan-2026
