SchemeCode,AMC,SchemeName,ISIN,NAV,Date,SchemeType,Category,SubCategory,PlanType,PlanOption,IDCW_Frequency
100033,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,INF209K01165,914.66,03-Feb-2026,Open Ended Schemes,Equity,Large & Mid Cap Fund,Regular,Growth,
100034,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Large & Mid Cap Fund -Regular - IDCW,INF209K01157,133.21,03-Feb-2026,Open Ended Schemes,Equity,Large & Mid Cap Fund,Regular,IDCW,Other
100037,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW,INF209K01587,13.0583,03-Feb-2026,Open Ended Schemes,Debt,Medium to Long Duration Fund,Regular,IDCW,Quarterly
100038,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Income Fund - Growth - Regular Plan,INF209K01579,126.4206,03-Feb-2026,Open Ended Schemes,Debt,Medium to Long Duration Fund,Regular,Growth,
100041,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,-,108.023,03-Feb-2026,Open Ended Schemes,Debt,Liquid Fund,Institutional,IDCW,Other
100042,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund-Retail (Growth),INF209K01ME4,706.3293,03-Feb-2026,Open Ended Schemes,Debt,Liquid Fund,Retail,Growth,
100043,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),INF209K01RT1,724.84,03-Feb-2026,Open Ended Schemes,Debt,Liquid Fund,Institutional,Growth,
100044,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund -Retail - IDCW,-,163.694,03-Feb-2026,Open Ended Schemes,Debt,Liquid Fund,Retail,IDCW,Other
100046,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund -Daily IDCW,INF209K01KQ2,100.195,03-Feb-2026,Open Ended Schemes,Debt,Liquid Fund,Other,IDCW,Daily
100047,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund - Growth,INF209K01RU9,435.2554,03-Feb-2026,Open Ended Schemes,Debt,Liquid Fund,Other,Growth,
100048,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,INF209KA1LK7,108.2774,03-Feb-2026,Open Ended Schemes,Debt,Liquid Fund,Institutional,IDCW,Weekly
100051,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Liquid Fund -weekly IDCW,INF209K01KU4,100.3121,03-Feb-2026,Open Ended Schemes,Debt,Liquid Fund,Other,IDCW,Weekly
100057,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Govenment Securities Fund -Regular - Quarterly IDCW,INF209K01AF6,10.8364,03-Feb-2026,Open Ended Schemes,Debt,Gilt Fund,Regular,IDCW,Quarterly
100058,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan,INF209K01AC3,80.0411,03-Feb-2026,Open Ended Schemes,Debt,Gilt Fund,Regular,Growth,
100063,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life MNC Fund - Regular - IDCW,INF209K01314,219.43,02-Feb-2026,Open Ended Schemes,Equity,Sectoral/ Thematic,Regular,IDCW,Other
100064,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life MNC Fund - Growth - Regular Plan,INF209K01322,1270.48,02-Feb-2026,Open Ended Schemes,Equity,Sectoral/ Thematic,Regular,Growth,
100077,DSP Mutual Fund,DSP Bond Fund - IDCW,INF740K01565,11.8826,03-Feb-2026,Open Ended Schemes,Debt,Medium Duration Fund,Other,IDCW,Other
100078,DSP Mutual Fund,DSP Bond Fund - Growth,INF740K01557,83.9052,03-Feb-2026,Open Ended Schemes,Debt,Medium Duration Fund,Other,Growth,
100079,DSP Mutual Fund,DSP Bond Fund - IDCW - Monthly,INF740K01573,11.1552,03-Feb-2026,Open Ended Schemes,Debt,Medium Duration Fund,Other,IDCW,Monthly
100080,DSP Mutual Fund,DSP Flexi Cap Fund - Regular Plan - IDCW,INF740K01011,64.186,03-Feb-2026,Open Ended Schemes,Equity,Flexi Cap Fund,Regular,IDCW,Other
100081,DSP Mutual Fund,DSP Aggressive Hybrid Fund- Regular Plan - Growth,INF740K01318,357.304,03-Feb-2026,Open Ended Schemes,Hybrid,Aggressive Hybrid Fund,Regular,Growth,
100082,DSP Mutual Fund,DSP Aggressive Hybrid Fund- Regular Plan - IDCW,INF740K01326,28.567,03-Feb-2026,Open Ended Schemes,Hybrid,Aggressive Hybrid Fund,Regular,IDCW,Other
100084,DSP Mutual Fund,DSP Gilt Fund - Regular Plan - Growth,INF740K01615,95.7682,03-Feb-2026,Open Ended Schemes,Debt,Gilt Fund,Regular,Growth,
100085,DSP Mutual Fund,DSP Gilt Fund - Regular Plan - IDCW,INF740K01607,12.4236,03-Feb-2026,Open Ended Schemes,Debt,Gilt Fund,Regular,IDCW,Other
100086,DSP Mutual Fund,DSP Gilt Fund - Regular Plan - IDCW - Monthly,INF740K01623,10.6133,03-Feb-2026,Open Ended Schemes,Debt,Gilt Fund,Regular,IDCW,Monthly
100087,DSP Mutual Fund,DSP Savings Fund - Regular Plan - Growth,INF740K01714,54.5006,03-Feb-2026,Open Ended Schemes,Debt,Money Market Fund,Regular,Growth,
100088,DSP Mutual Fund,DSP Savings Fund - Regular Plan - IDCW,INF740K01706,12.4453,03-Feb-2026,Open Ended Schemes,Debt,Money Market Fund,Regular,IDCW,Other
100089,DSP Mutual Fund,DSP Savings Fund - Regular Plan - IDCW - Monthly,INF740K01722,10.9914,03-Feb-2026,Open Ended Schemes,Debt,Money Market Fund,Regular,IDCW,Monthly
100119,HDFC Mutual Fund,HDFC Balanced Advantage Fund - Growth Plan,INF179K01830,531.059,03-Feb-2026,Open Ended Schemes,Hybrid,Dynamic Asset Allocation or Balanced Advantage,Other,Growth,
100120,HDFC Mutual Fund,HDFC Balanced Advantage Fund - IDCW Plan,INF179K01814,38.373,03-Feb-2026,Open Ended Schemes,Hybrid,Dynamic Asset Allocation or Balanced Advantage,Other,IDCW,Other
100123,HDFC Mutual Fund,HDFC Income Fund - Quarterly IDCW Option,INF179K01947,11.3554,03-Feb-2026,Open Ended Schemes,Debt,Medium to Long Duration Fund,Other,IDCW,Quarterly
100124,HDFC Mutual Fund,HDFC Income Fund - Growth Option,INF179K01962,58.6508,03-Feb-2026,Open Ended Schemes,Debt,Medium to Long Duration Fund,Other,Growth,
100174,quant Mutual Fund,quant ELSS Tax Saver Fund - IDCW Option - Regular Plan,INF966L01119,50.8093,03-Feb-2026,Open Ended Schemes,Equity,ELSS,Regular,IDCW,Other
100175,quant Mutual Fund,quant ELSS Tax Saver Fund - Growth Option - Regular Plan,INF966L01135,365.8993,03-Feb-2026,Open Ended Schemes,Equity,ELSS,Regular,Growth,
100176,quant Mutual Fund,quant Small Cap Fund - IDCW Option - Regular Plan,INF206A01022,190.9515,03-Feb-2026,Open Ended Schemes,Equity,Small Cap Fund,Regular,IDCW,Other
100177,quant Mutual Fund,quant Small Cap Fund - Growth - Regular Plan,INF966L01AA0,240.113,03-Feb-2026,Open Ended Schemes,Equity,Small Cap Fund,Regular,Growth,
100218,JM Financial Mutual Fund,JM Large Cap Fund (Regular) - IDCW,INF192K01585,30.2707,03-Feb-2026,Open Ended Schemes,Equity,Large Cap Fund,Regular,IDCW,Other
100219,JM Financial Mutual Fund,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,155.9353,03-Feb-2026,Open Ended Schemes,Equity,Large Cap Fund,Regular,Growth,
100220,JM Financial Mutual Fund,JM Aggressive Hybrid Fund (Regular) - IDCW,INF192K01528,33.148,03-Feb-2026,Open Ended Schemes,Hybrid,Aggressive Hybrid Fund,Regular,IDCW,Other
100221,JM Financial Mutual Fund,JM Aggressive Hybrid Fund (Regular) -Growth Option,INF192K01544,118.5166,03-Feb-2026,Open Ended Schemes,Hybrid,Aggressive Hybrid Fund,Regular,Growth,
100222,JM Financial Mutual Fund,JM Medium to Long Duration Fund (Regular) - Quarterly IDCW,INF192K01999,21.4665,03-Feb-2026,Open Ended Schemes,Debt,Medium to Long Duration Fund,Regular,IDCW,Quarterly
100223,JM Financial Mutual Fund,JM Medium to Long Duration Fund (Regular) - Growth Option,INF192K01AB3,63.1357,03-Feb-2026,Open Ended Schemes,Debt,Medium to Long Duration Fund,Regular,Growth,
100233,JM Financial Mutual Fund,JM Liquid Fund (Regular) - Weekly IDCW,INF192K01841,11.0035,03-Feb-2026,Open Ended Schemes,Debt,Liquid Fund,Regular,IDCW,Weekly
100234,JM Financial Mutual Fund,JM Liquid Fund - Growth Option,INF192K01882,73.6612,03-Feb-2026,Open Ended Schemes,Debt,Liquid Fund,Other,Growth,
100244,JM Financial Mutual Fund,JM Liquid Fund (Regular) - Quarterly IDCW,INF192K01866,41.693,03-Feb-2026,Open Ended Schemes,Debt,Liquid Fund,Regular,IDCW,Quarterly
100247,JM Financial Mutual Fund,JM Liquid Fund (Regular) - Super Institutional Plan - Growth Option,INF192K01981,42.3504,03-Feb-2026,Open Ended Schemes,Debt,Liquid Fund,Regular,Growth,
100254,JM Financial Mutual Fund,JM Value Fund (Regular) - Growth Option,INF137A01037,93.1871,03-Feb-2026,Open Ended Schemes,Equity,Value Fund,Regular,Growth,
